Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C15, C17, C18, C19, C20, C3, C4, C5, C6",0402,12,100nF,
"C10, C7",0603,2,10u10V,
"C11, C14, C2, C9",0603,4,1uF,
C8,1206,1,22uF,
"D1, D2, D3",D_SOD-123,3,B5819W,
D10,0603,1,YELLOW,
"D4, D5, D6",0603,3,BLUE,
D7,0603,1,GREEN,
D8,0603,1,RED,
D9,0603,1,WHITE,
"FB1, FB2",0805,2,CBM201209U601T,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,SWD,
J2,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,BOOTLDR,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,NODE,
"J6, J7",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09,
"R1, R11, R12, R15, R16, R17, R2, R4, R5, R50, R51, R6, R7, R8, R9",0402,15,4k7,
R10,0402,1,6k8,
"R13, R14, R3, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49",0402,19,2k2,
"R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33",0402,16,1k0,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G070RBTx,
"U10, U11, U8, U9",SOT-23-6,4,SRV05-4,
"U2, U3",SOT-23-5,2,74LVC1G07,
U4,SOT-23-5,1,MT9700,
U5,SOT-23,1,HXY6206I-3V3,
"U6, U7",SOIC-16_3.9x9.9mm_P1.27mm,2,CD4051B,
