Designator,Mid X,Mid Y,Rotation,Layer
C1,10.0328,14.7884,0.0,top
C10,56.2608,30.13,90.0,top
C11,25.857,31.146,270.0,top
C12,42.5956,29.2156,180.0,top
C13,36.2964,20.5796,180.0,top
C14,32.1816,28.9108,0.0,top
C15,38.2268,21.0876,90.0,top
C17,40.8176,16.0584,315.0,top
C18,12.8268,15.3472,270.0,top
C19,68.402,17.148,270.0,top
C2,40.3096,14.7376,315.0,top
C20,68.402,25.53,270.0,top
C3,12.8069,22.8504,90.0,top
C4,7.5175,16.902,270.0,top
C5,19.634,24.7452,180.0,top
C6,50.9776,13.8232,225.0,top
C7,50.5403,30.2824,90.0,top
C8,19.888,30.384,90.0,top
C9,22.6312,28.4536,0.0,top
D1,15.0112,15.7028,270.0,top
D10,47.574,31.273,90.0,top
D2,9.3724,24.796,180.0,top
D3,21.031,26.447,180.0,top
D4,31.572,31.273,90.0,top
D5,34.216,31.2495,90.0,top
D6,36.906,31.273,90.0,top
D7,39.573,31.273,90.0,top
D8,42.24,31.273,90.0,top
D9,44.907,31.273,90.0,top
FB1,38.43,17.7348,315.0,top
FB2,29.54,30.9936,90.0,top
J1,23.3732,16.0922,0.0,top
J2,9.367,29.478,0.0,top
J5,3.505,19.335,90.0,top
J6,87.15,24.02,90.0,top
J7,87.15,21.48,90.0,top
R1,8.0516,14.7884,0.0,top
R10,56.464,32.162,0.0,top
R11,38.176,31.781,90.0,top
R12,40.843,31.779,90.0,top
R13,54.3812,18.7,225.0,top
R14,53.0096,17.3284,225.0,top
R15,43.51,31.781,90.0,top
R16,46.177,31.781,90.0,top
R17,48.844,31.781,90.0,top
R18,79.004,29.622,180.0,top
R19,81.544,29.622,180.0,top
R2,30.6576,15.9568,90.0,top
R20,84.211,29.622,180.0,top
R21,86.624,29.622,180.0,top
R22,89.164,29.622,180.0,top
R23,91.704,29.622,180.0,top
R24,94.246,29.622,180.0,top
R25,96.784,29.622,180.0,top
R26,79.131,15.779,180.0,top
R27,81.671,15.779,180.0,top
R28,84.211,15.779,180.0,top
R29,86.751,15.779,180.0,top
R3,13.9952,22.8656,270.0,top
R30,89.291,15.779,180.0,top
R31,91.831,15.779,180.0,top
R32,94.371,15.779,180.0,top
R33,96.911,15.779,180.0,top
R34,79.512,31.146,270.0,top
R35,79.639,14.255,90.0,top
R36,82.052,31.146,270.0,top
R37,82.179,14.255,90.0,top
R38,84.719,31.146,270.0,top
R39,84.719,14.255,90.0,top
R4,12.8069,20.92,270.0,top
R40,87.132,31.146,270.0,top
R41,87.259,14.255,90.0,top
R42,89.672,31.146,270.0,top
R43,89.799,14.255,90.0,top
R44,92.212,31.146,270.0,top
R45,92.339,14.255,90.0,top
R46,94.752,31.146,270.0,top
R47,94.879,14.255,90.0,top
R48,97.292,31.146,270.0,top
R49,97.419,14.255,90.0,top
R5,7.5175,18.8324,90.0,top
R50,12.8515,17.3084,90.0,top
R51,7.5237,22.446,270.0,top
R6,51.638,15.9568,225.0,top
R7,50.2664,14.5852,225.0,top
R8,32.842,31.781,90.0,top
R9,35.509,31.783,90.0,top
U1,46.6287,21.9106,315.0,top
U10,71.892,20.095168,90.0,top
U11,71.892,15.017,90.0,top
U2,10.1653,21.682,180.0,top
U3,10.1591,18.0704,0.0,top
U4,53.416,31.0952,0.0,top
U5,23.063,31.019,0.0,top
U6,62.621,17.811,0.0,top
U7,62.621,27.271,0.0,top
U8,71.892,30.2515,90.0,top
U9,71.892,25.173334,90.0,top
